Contact pair,Temperature (K),Loading pressure (MPa),ECR(Num.) $( \Omega \cdot \mathrm { m } ^ { 2 } )$,$\mathbb { E } \mathsf { C R } ( E x p . )$ $( \Omega \cdot \mathrm { m } ^ { 2 } )$,Difference (%)
E-N_1,298,0.1039,$4 . 3 2 \times 1 0 ^ { - 7 }$,$4 . 4 7 \times 1 0 ^ { - 7 }$,3.40%
0.1247,$3 . 9 4 \times 1 0 ^ { - 7 }$,$4 . 3 3 \times 1 0 ^ { - 7 }$,9.97%
0.1455,$3 . 5 6 \times 1 0 ^ { - 7 }$,$3 . 3 7 \times 1 0 ^ { - 7 }$,-5.42%
0.1662,$3 . 3 7 \times 1 0 ^ { - 7 }$,$3 . 8 1 \times 1 0 ^ { - 7 }$,13.2%
0.1870,$3 . 1 7 \times 1 0 ^ { - 7 }$,$3 . 3 7 \times 1 0 ^ { - 7 }$,6.20%
E-N_u,298,0.1039,$6 . 2 0 \times 1 0 ^ { - 7 }$,$6 . 7 8 \times 1 0 ^ { - 7 }$,9.27%
0.1247,$5 . 5 8 \times 1 0 ^ { - 7 }$,$6 . 2 0 \times 1 0 ^ { - 7 }$,11.2%
0.1455,$5 . 3 0 \times 1 0 ^ { - 7 }$,$5 . 5 8 \times 1 0 ^ { - 7 }$,5.37%
0.1662,$5 . 0 3 \times 1 0 ^ { - 7 }$,$5 . 7 8 \times 1 0 ^ { - 7 }$,14.9%
0.1870,$4 . 7 7 \times 1 0 ^ { - 7 }$,$4 . 4 3 \times 1 0 ^ { - 7 }$,-7.18%
E-P_1,298,0.1039,$2 . 4 3 \times 1 0 ^ { - 7 }$,$3 . 3 5 \times 1 0 ^ { - 7 }$,38.0%
0.1247,$2 . 2 2 \times 1 0 ^ { - 7 }$,$3 . 0 8 \times 1 0 ^ { - 7 }$,38.5%
0.1455,$2 . 0 8 \times 1 0 ^ { - 7 }$,$2 . 8 9 \times 1 0 ^ { - 7 }$,38.9%
0.1662,$1 . 9 5 \times 1 0 ^ { - 7 }$,$2 . 4 1 \times 1 0 ^ { - 7 }$,23.5%
0.1870,$1 . 8 6 \times 1 0 ^ { - 7 }$,$2 . 0 4 \times 1 0 ^ { - 7 }$,9.98%
E-P_u,298,0.1039,$9 . 6 0 \times 1 0 ^ { - 7 }$,$1 . 1 3 \times 1 0 ^ { - 6 }$,17.7%
0.1247,$9 . 0 5 \times 1 0 ^ { - 7 }$,$9 . 1 4 \times 1 0 ^ { - 7 }$,1.03%
0.1455,$8 . 5 5 \times 1 0 ^ { - 7 }$,$9 . 2 8 \times 1 0 ^ { - 7 }$,8.50%
0.1662,$8 . 3 3 \times 1 0 ^ { - 7 }$,$8 . 5 7 \times 1 0 ^ { - 7 }$,2.79%
0.1870,$8 . 0 9 \times 1 0 ^ { - 7 }$,$8 . 3 0 \times 1 0 ^ { - 7 }$,2.60%
