Contacting pair,Type of TE leg,Clearance medium,Average interfacial temperature,Equivalent thermal conductivity,Average interfacial electrical potential,Equivalent electrical conductivity
E-TE-H,N-type,Vacuum,(K) 758.7,(W/(m K) 0.2346,(V) 4.719,(S/mm) 0.8942
,,849.5,0.2638,5.506,,0.8944
,943.0,0.3013,6.292,0.8944
1038,,0.3402,7.078,0.8943
1238,,0.4447,7.865,0.8941
799.0,,16.86,5.996,609.2
,Silver-epoxy adhesive 898.8,18.07,6.996,,658.1
,998.4,,18.52,7.995,645.6
,1098,,18.69,8.994,615.1
P-type,,1298,18.84,9.993,592.2
,Vacuum,761.3,0.2082,4.720,0.7219
853.5,0.2393,5.507,0.7200
949.6,0.2873,6.294,0.7205
,0.3446,,
1048,,7.080,0.7204
1247 Silver-epoxy,0.4702,7.867,0.7201
799.3 898.9,17.78,5.997,577.9
,adhesive,998.7,18.73 19.48,6.996,598.3
E-TE-M,,,19.73,7.996,651.3
N-type,Vacuum,1098,19.82,8.995,643.1
1298,0.4149,9.995,617.5
390.8 478.6,0.3698,5.396,34.78
,,6.295,34.78
565.7,0.3216 0.2958,7.194,34.78
653.6,,8.093,34.79
750.4 Silver-epoxy,0.3325,8.993,34.79
399.6,17.76,5.965,740.9
adhesive 499.2,22.67,,6.959,740.9
P-type,,598.9 698.6,23.41,7.953,740.6
,798.4,24.73 25.18,8.947,741.7
Vacuum,,,9.941,741.7
,391.0,0.3319,5.433,11.80
,480.4,0.2918,6.338,11.81
,570.0,0.2660,7.244,11.82
,659.5,0.2465,8.149,11.81
,760.5,0.3095,9.055,11.80
Silver-epoxy adhesive,399.7 499.4,20.28,5.988,700.4
,,25.76,6.986,701.8,
,,599.2,27.39,7.984,704.2
N-type,Vacuum,698.9,31.35,8.982,701.8
E-TE-L,,798.7,33.47,9.979,700.5
,284.4,0.2618,5.017,8.096
,368.8,0.2636,5.853,8.096
,449.6,0.2353,6.689,8.096
,530.3,0.2152,7.525,8.095
Silver-epoxy,615.4,0.2137,8.361,8.097
,299.6,19.17,5.981,647.1
,adhesive,399.2,19.88,6.978,646.3
,,498.8,20.18,7.975,647.1
,,598.5,20.30,8.972,645.4
P-type,Vacuum,698.2,20.36,9.969,649.0
,,284.6,0.1615,5.019,7.667
,,369.2,0.1622,5.855,7.667
,,453.3,0.1581,6.692,7.668
,Silver-epoxy adhesive,538.2,0.1556,7.528,7.667
628.2,0.1555,,
299.7,,8.364,7.669
,18.59,5.982,644.2
399.4,21.44,6.979,643.2
499.2,24.43,7.976,646.3
,598.9 698.7,25.63 26.84,8.973 9.970,644.5 647.0
